geophone_location,offset,shot_0,shot_1,shot_2,shot_3,shot_4,shot_5
1,0,,,,,,
1,1,0.02658,0.00183,0.02515,0.0436,0.05206,0.07951
1,2,0.02878,0.00295,0.0224,0.04116,0.05158,0.07847
1,3,0.02933,0.00448,0.02118,0.03859,0.04701,0.07847
1,4,,,,,,
1,5,0.03299,0.00866,0.01446,0.03823,0.04605,0.07221
1,6,0.03556,,0.01242,0.03664,0.04773,0.07169
1,7,0.03629,0.01222,0.01079,0.0353,0.05013,0.07013
1,8,0.03868,0.01365,0.00825,0.03322,0.04389,0.06830
1,9,0.04143,0.01568,0.00703,0.03261,0.04316,0.06648
1,10,0.04344,0.02322,0.00418,0.02906,0.0398,0.06387
1,11,0.04418,0.02475,0.00275,0.02772,0.03764,0.06543
2,11,,0.02859,,,,
2,12,0.03886,0.02878,0.00532,0.02218,0.04436,0.06206
2,13,0.03978,0.03024,0.00752,0.02108,0.04326,0.0587
2,14,0.04179,0.03208,0.00916,0.02035,0.04198,0.05534
2,15,,0.03483,,,,
2,16,0.04509,0.03519,0.0143,0.01778,0.03776,0.05422
2,17,0.05096,0.03611,0.01595,0.01631,0.03666,0.04772
2,18,0.05426,,0.01851,0.01485,0.03519,0.04772
2,19,0.04692,0.04179,0.02401,0.01191,0.03318,0.0457
2,20,0.04436,0.04399,0.02603,0.0099,0.03208,0.04458
2,21,0.04198,0.04601,0.02896,0.00587,0.03153,0.04369
2,22,0.04253,,0.02951,0.00275,0.03098,0.04323
3,22,,,,,,
3,23,0.04301,0.04033,0.03204,0.00515,0.0289,0.0401
3,24,0.04159,0.04212,0.0289,0.00896,0.02823,0.03956
3,25,0.04281,0.04324,0.03204,0.01255,0.02599,0.03764
3,26,,,,,,
3,27,0.04709,0.0457,0.03181,0.01635,0.01859,0.0345
3,28,0.04892,0.04369,0.03271,0.01837,0.01613,0.03226
3,29,0.05198,0.0457,0.03473,0.01971,0.01501,0.03159
3,30,,0.04481,0.03831,0.02263,0.0121,0.03047
3,31,0.05523,0.04615,0.03741,0.02285,0.00829,0.02756
3,32,0.05605,0.04548,0.03853,0.02397,0.00807,0.02621
3,33,0.05931,0.0466,0.04077,0.02599,0.00224,0.02666
4,33,,,,,,
4,34,0.07191,,0.042,0.03208,0.00788,0.02255
4,35,0.07389,0.04684,0.0431,0.03354,0.01155,0.02145
4,36,0.07565,0.04991,0.04486,0.03391,0.01576,0.01943
4,37,,,,,,
4,38,0.07609,0.05475,0.04574,0.03061,0.01668,0.01833
4,39,0.07873,0.05519,0.05233,0.03354,0.01833,0.01595
4,40,0.07895,0.05607,0.05079,0.03354,0.01631,0.01228
4,41,0.08005,0.05717,0.05079,0.03299,0.0176,0.01136
4,42,0.08247,,0.05233,0.03519,0.01998,0.011
4,43,0.08445,,0.05409,0.03556,0.02053,0.00532
4,44,,,,0.03593,0.02071,0.00238